5-12-2019
İstanbul 39 39 '|26-11-2019:0|28-11-2019:0|25-11-2019:4|27-11-2019:112|28-11-2019:147|2-12-2019:270|4-12-2019:147'
Adalar 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:19|28-11-2019:34|2-12-2019:250|4-12-2019:46'
Arnavutköy 4 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:12|28-11-2019:0|2-12-2019:0|4-12-2019:101'
Ataşehir 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:14|28-11-2019:15|2-12-2019:0|4-12-2019:0'
Avcılar 15 '|26-11-2019:0|28-11-2019:0|25-11-2019:4|27-11-2019:39|28-11-2019:54|2-12-2019:0|4-12-2019:0'
Bağcılar 20 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:28|28-11-2019:6|2-12-2019:0|4-12-2019:0'
Bahçelievler 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:6|2-12-2019:0|4-12-2019:0'
Bakırköy 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:29|2-12-2019:0|4-12-2019:0'
Başakşehir 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Bayrampaşa 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Beşiktaş 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:20|4-12-2019:0'
Beykoz 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Beylikdüzü 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Beyoğlu 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Büyükçekmece 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:2|2-12-2019:0|4-12-2019:0'
Çatalca 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Çekmeköy 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Esenler 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Esenyurt 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Eyüp 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Fatih 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Gaziosmanpaşa 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Güngören 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Kadıköy 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Kâğıthane 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Kartal 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Küçükçekmece 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Maltepe 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Pendik 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Sancaktepe 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Sarıyer 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Silivri 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Sultanbeyli 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Sultangazi 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Şile 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
Şişli 0 '|26-11-2019:0|28-11-2019:0|25-11-2019:0|27-11-2019:0|28-11-2019:0|2-12-2019:0|4-12-2019:0'
